species,size,Média,Mediana,Moda,Std,IC (90%),IC (95%),IC (99%),CV (%),Normalidade,kind,data_set
virginica,5,2.98,3.0,3.0 ,0.217,0.207,0.269,0.446,7.27,Sim,sepal_width,iris
virginica,6,2.983,3.0,3.0 ,0.194,0.16,0.204,0.319,6.51,Sim,sepal_width,iris
virginica,7,2.914,3.0,3.0 ,0.254,0.187,0.235,0.357,8.73,Sim,sepal_width,iris
virginica,8,2.912,2.95,3.0 ,0.236,0.158,0.197,0.292,8.09,Sim,sepal_width,iris
virginica,9,2.867,2.9,3.0 ,0.26,0.161,0.2,0.291,9.06,Sim,sepal_width,iris
virginica,10,2.94,2.95,3.0 ,0.337,0.196,0.241,0.347,11.47,Sim,sepal_width,iris
virginica,11,2.964,3.0,3.0 ,0.329,0.18,0.221,0.315,11.12,Sim,sepal_width,iris
virginica,12,2.942,2.95,3.0 ,0.323,0.168,0.205,0.29,10.99,Sim,sepal_width,iris
virginica,13,2.946,3.0,3.0 ,0.31,0.153,0.187,0.263,10.52,Sim,sepal_width,iris
virginica,14,2.914,2.95,3.0 ,0.321,0.152,0.185,0.258,11.0,Sim,sepal_width,iris
virginica,15,2.907,2.9,3.0 ,0.31,0.141,0.172,0.239,10.68,Sim,sepal_width,iris
virginica,16,2.925,2.95,3.0 ,0.309,0.135,0.165,0.227,10.56,Sim,sepal_width,iris
virginica,17,2.929,3.0,3.0 ,0.3,0.127,0.154,0.212,10.22,Sim,sepal_width,iris
virginica,18,2.978,3.0,3.0 ,0.356,0.146,0.177,0.243,11.95,Sim,sepal_width,iris
virginica,19,2.958,3.0,3.0 ,0.356,0.142,0.172,0.235,12.05,Sim,sepal_width,iris
virginica,20,2.92,2.95,3.0 ,0.386,0.149,0.181,0.247,13.22,Sim,sepal_width,iris
virginica,21,2.933,3.0,3.0 ,0.381,0.143,0.174,0.237,13.0,Sim,sepal_width,iris
virginica,22,2.927,2.95,3.0 ,0.373,0.137,0.165,0.225,12.75,Sim,sepal_width,iris
virginica,23,2.922,2.9,3.0 ,0.366,0.131,0.158,0.215,12.51,Sim,sepal_width,iris
virginica,24,2.912,2.9,3.0 ,0.36,0.126,0.152,0.206,12.37,Sim,sepal_width,iris
virginica,25,2.928,2.9,3.0 ,0.361,0.124,0.149,0.202,12.33,Sim,sepal_width,iris
virginica,26,2.938,2.95,3.0 ,0.358,0.12,0.145,0.196,12.18,Sim,sepal_width,iris
virginica,27,2.933,2.9,3.0 ,0.352,0.116,0.139,0.188,12.0,Sim,sepal_width,iris
virginica,28,2.936,2.95,3.0 ,0.346,0.111,0.134,0.181,11.77,Sim,sepal_width,iris
virginica,29,2.931,2.9,3.0 ,0.34,0.107,0.129,0.175,11.61,Sim,sepal_width,iris
virginica,30,2.933,2.95,3.0 ,0.335,0.104,0.125,0.168,11.41,Sim,sepal_width,iris
virginica,31,2.929,2.9,3.0 ,0.33,0.101,0.121,0.163,11.26,Sim,sepal_width,iris
virginica,32,2.956,2.95,3.0 ,0.359,0.108,0.129,0.174,12.15,Sim,sepal_width,iris
virginica,33,2.952,2.9,3.0 & 2.8 ,0.355,0.105,0.126,0.169,12.01,Sim,sepal_width,iris
virginica,34,2.947,2.9,2.8 ,0.35,0.102,0.122,0.164,11.88,Sim,sepal_width,iris
virginica,35,2.937,2.9,2.8 ,0.35,0.1,0.12,0.161,11.91,Sim,sepal_width,iris
virginica,36,2.939,2.9,3.0 & 2.8 ,0.345,0.097,0.117,0.157,11.74,Sim,sepal_width,iris
virginica,37,2.951,2.9,3.0 & 2.8 ,0.349,0.097,0.116,0.156,11.81,Sim,sepal_width,iris
virginica,38,2.955,2.95,3.0 & 2.8 ,0.345,0.094,0.113,0.152,11.66,Sim,sepal_width,iris
virginica,39,2.956,3.0,3.0 ,0.34,0.092,0.11,0.148,11.5,Sim,sepal_width,iris
virginica,40,2.96,3.0,3.0 ,0.336,0.09,0.108,0.144,11.37,Sim,sepal_width,iris
virginica,41,2.963,3.0,3.0 ,0.333,0.088,0.105,0.141,11.24,Sim,sepal_width,iris
virginica,42,2.967,3.0,3.0 ,0.33,0.086,0.103,0.137,11.11,Sim,sepal_width,iris
virginica,43,2.96,3.0,3.0 ,0.328,0.084,0.101,0.135,11.08,Sim,sepal_width,iris
virginica,44,2.966,3.0,3.0 ,0.326,0.083,0.099,0.133,11.0,Sim,sepal_width,iris
virginica,45,2.973,3.0,3.0 ,0.326,0.082,0.098,0.131,10.98,Sim,sepal_width,iris
virginica,46,2.974,3.0,3.0 ,0.323,0.08,0.096,0.128,10.85,Sim,sepal_width,iris
virginica,47,2.964,3.0,3.0 ,0.327,0.08,0.096,0.128,11.02,Sim,sepal_width,iris
virginica,48,2.965,3.0,3.0 ,0.323,0.078,0.094,0.125,10.9,Sim,sepal_width,iris
virginica,49,2.973,3.0,3.0 ,0.326,0.078,0.094,0.125,10.96,Sim,sepal_width,iris
virginica,50,2.974,3.0,3.0 ,0.322,0.076,0.092,0.122,10.84,Sim,sepal_width,iris
virginica,1,6.0,6.0,6.0,-,-,-,-,-,-,petal_length,iris
virginica,2,5.55,5.55,None ,0.636,2.841,5.718,28.646,11.47,-,petal_length,iris
virginica,3,5.667,5.9,None ,0.493,0.832,1.225,2.827,8.71,Sim,petal_length,iris
virginica,4,5.65,5.75,None ,0.404,0.476,0.643,1.18,7.15,Sim,petal_length,iris
virginica,5,5.68,5.8,None ,0.356,0.34,0.442,0.734,6.27,Sim,petal_length,iris
virginica,6,5.833,5.85,None ,0.493,0.405,0.517,0.811,8.44,Sim,petal_length,iris
virginica,7,5.643,5.8,None ,0.675,0.496,0.625,0.946,11.97,Sim,petal_length,iris
virginica,8,5.725,5.85,None ,0.667,0.447,0.558,0.825,11.65,Sim,petal_length,iris
virginica,9,5.733,5.8,5.8 ,0.624,0.387,0.48,0.698,10.89,Sim,petal_length,iris
virginica,10,5.77,5.85,5.8 ,0.6,0.348,0.429,0.617,10.4,Sim,petal_length,iris
virginica,11,5.709,5.8,5.1 & 5.8 ,0.604,0.33,0.406,0.577,10.58,Sim,petal_length,iris
virginica,12,5.675,5.8,5.1 & 5.8 ,0.588,0.305,0.374,0.527,10.36,Sim,petal_length,iris
virginica,13,5.662,5.8,5.1 & 5.8 ,0.565,0.279,0.341,0.479,9.98,Sim,petal_length,iris
virginica,14,5.614,5.7,5.1 & 5.8 ,0.571,0.27,0.33,0.46,10.17,Sim,petal_length,iris
virginica,15,5.58,5.6,5.1 ,0.566,0.257,0.313,0.435,10.14,Sim,petal_length,iris
virginica,16,5.562,5.55,5.1 ,0.551,0.242,0.294,0.406,9.91,Sim,petal_length,iris
virginica,17,5.559,5.5,5.1 ,0.534,0.226,0.275,0.378,9.6,Sim,petal_length,iris
virginica,18,5.622,5.55,5.1 ,0.584,0.239,0.29,0.399,10.38,Sim,petal_length,iris
virginica,19,5.689,5.6,5.1 ,0.638,0.254,0.308,0.422,11.22,Sim,petal_length,iris
virginica,20,5.655,5.55,5.1 ,0.64,0.248,0.3,0.41,11.32,Sim,petal_length,iris
virginica,21,5.657,5.6,5.1 ,0.624,0.235,0.284,0.388,11.03,Sim,petal_length,iris
virginica,22,5.623,5.55,5.1 ,0.63,0.231,0.279,0.38,11.21,Sim,petal_length,iris
virginica,23,5.67,5.6,5.1 ,0.655,0.235,0.283,0.385,11.56,Sim,petal_length,iris
virginica,24,5.638,5.55,5.1 ,0.66,0.231,0.279,0.378,11.71,Sim,petal_length,iris
virginica,25,5.64,5.6,5.1 ,0.646,0.221,0.267,0.361,11.46,Sim,petal_length,iris
virginica,26,5.654,5.65,5.1 ,0.637,0.213,0.257,0.348,11.27,Sim,petal_length,iris
virginica,27,5.622,5.6,5.1 ,0.646,0.212,0.256,0.345,11.49,Sim,petal_length,iris
virginica,28,5.596,5.55,5.1 & 4.9 ,0.648,0.209,0.251,0.339,11.59,Sim,petal_length,iris
virginica,29,5.597,5.6,5.1 & 4.9 ,0.637,0.201,0.242,0.327,11.38,Sim,petal_length,iris
virginica,30,5.603,5.6,5.1 & 5.8 & 4.9 ,0.627,0.194,0.234,0.315,11.18,Sim,petal_length,iris
virginica,31,5.619,5.6,5.1 & 5.8 & 4.9 ,0.623,0.19,0.228,0.308,11.08,Sim,petal_length,iris
virginica,32,5.644,5.65,5.1 & 5.8 & 4.9 ,0.628,0.188,0.226,0.305,11.12,Sim,petal_length,iris
virginica,33,5.642,5.6,5.1 & 5.6 & 5.8 & 4.9 ,0.618,0.182,0.219,0.295,10.95,Sim,petal_length,iris
virginica,34,5.626,5.6,5.1 ,0.616,0.179,0.215,0.289,10.94,Sim,petal_length,iris
virginica,35,5.626,5.6,5.1 & 5.6 ,0.607,0.173,0.208,0.28,10.78,Sim,petal_length,iris
virginica,36,5.639,5.6,5.1 & 5.6 ,0.603,0.17,0.204,0.274,10.69,Sim,petal_length,iris
virginica,37,5.638,5.6,5.6 ,0.595,0.165,0.198,0.266,10.55,Sim,petal_length,iris
virginica,38,5.634,5.6,5.6 ,0.587,0.161,0.193,0.259,10.42,Sim,petal_length,iris
virginica,39,5.613,5.6,5.6 ,0.594,0.16,0.193,0.258,10.59,Sim,petal_length,iris
virginica,40,5.608,5.6,5.6 ,0.588,0.157,0.188,0.252,10.48,Sim,petal_length,iris
virginica,41,5.607,5.6,5.6 ,0.58,0.153,0.183,0.245,10.35,Sim,petal_length,iris
virginica,42,5.595,5.6,5.6 ,0.578,0.15,0.18,0.241,10.34,Sim,petal_length,iris
virginica,43,5.584,5.6,5.1 & 5.6 ,0.576,0.148,0.177,0.237,10.32,Sim,petal_length,iris
virginica,44,5.591,5.6,5.1 & 5.6 ,0.572,0.145,0.174,0.232,10.23,Sim,petal_length,iris
virginica,45,5.593,5.6,5.1 & 5.6 ,0.565,0.142,0.17,0.227,10.11,Sim,petal_length,iris
virginica,46,5.585,5.6,5.1 & 5.6 ,0.562,0.139,0.167,0.223,10.07,Sim,petal_length,iris
virginica,47,5.572,5.6,5.1 & 5.6 ,0.562,0.138,0.165,0.22,10.09,Sim,petal_length,iris
virginica,48,5.565,5.6,5.1 & 5.6 ,0.559,0.135,0.162,0.217,10.05,Sim,petal_length,iris
virginica,49,5.561,5.6,5.1 & 5.6 ,0.554,0.133,0.159,0.212,9.96,Sim,petal_length,iris
virginica,50,5.552,5.55,5.1 ,0.552,0.131,0.157,0.209,9.94,Sim,petal_length,iris
virginica,1,2.5,2.5,2.5,-,-,-,-,-,-,petal_width,iris
virginica,2,2.2,2.2,None ,0.424,1.894,3.812,19.097,19.28,-,petal_width,iris
virginica,3,2.167,2.1,None ,0.306,0.515,0.759,1.751,14.1,Sim,petal_width,iris
virginica,4,2.075,2.0,None ,0.31,0.364,0.493,0.904,14.92,Sim,petal_width,iris
virginica,5,2.1,2.1,None ,0.274,0.261,0.34,0.564,13.04,Sim,petal_width,iris
virginica,6,2.1,2.1,2.1 ,0.245,0.202,0.257,0.403,11.66,Sim,petal_width,iris
virginica,7,2.043,2.1,2.1 ,0.27,0.198,0.25,0.378,13.21,Sim,petal_width,iris
virginica,8,2.013,2.0,2.1 & 1.8 ,0.264,0.177,0.221,0.327,13.13,Sim,petal_width,iris
virginica,9,1.989,1.9,1.8 ,0.257,0.159,0.198,0.288,12.93,Sim,petal_width,iris
virginica,10,2.04,2.0,1.8 ,0.291,0.169,0.208,0.299,14.28,Sim,petal_width,iris
virginica,11,2.036,2.0,1.8 ,0.277,0.151,0.186,0.264,13.59,Sim,petal_width,iris
virginica,12,2.025,1.95,1.8 ,0.267,0.138,0.169,0.239,13.17,Sim,petal_width,iris
virginica,13,2.031,2.0,2.1 & 1.8 ,0.256,0.127,0.155,0.217,12.62,Sim,petal_width,iris
virginica,14,2.029,2.0,2.1 & 1.8 ,0.246,0.117,0.142,0.198,12.14,Sim,petal_width,iris
virginica,15,2.053,2.0,2.1 & 1.8 ,0.256,0.116,0.142,0.197,12.47,Sim,petal_width,iris
virginica,16,2.069,2.05,2.1 & 1.8 ,0.255,0.112,0.136,0.188,12.32,Sim,petal_width,iris
virginica,17,2.053,2.0,1.8 ,0.255,0.108,0.131,0.181,12.43,Sim,petal_width,iris
virginica,18,2.061,2.05,1.8 ,0.25,0.103,0.124,0.171,12.13,Sim,petal_width,iris
virginica,19,2.074,2.1,1.8 ,0.249,0.099,0.12,0.164,12.01,Sim,petal_width,iris
virginica,20,2.045,2.05,1.8 ,0.274,0.106,0.128,0.175,13.41,Sim,petal_width,iris
virginica,21,2.057,2.1,1.8 ,0.273,0.103,0.124,0.17,13.27,Sim,petal_width,iris
virginica,22,2.055,2.05,1.8 ,0.267,0.098,0.118,0.161,12.98,Sim,petal_width,iris
virginica,23,2.052,2.0,1.8 & 2.0 ,0.261,0.093,0.113,0.153,12.71,Sim,petal_width,iris
virginica,24,2.042,2.0,1.8 ,0.26,0.091,0.11,0.149,12.75,Sim,petal_width,iris
virginica,25,2.044,2.0,1.8 ,0.255,0.087,0.105,0.143,12.48,Sim,petal_width,iris
virginica,26,2.035,2.0,1.8 ,0.254,0.085,0.103,0.139,12.51,Sim,petal_width,iris
virginica,27,2.026,2.0,1.8 ,0.254,0.083,0.1,0.136,12.52,Sim,petal_width,iris
virginica,28,2.018,2.0,1.8 ,0.252,0.081,0.098,0.132,12.51,Sim,petal_width,iris
virginica,29,2.021,2.0,1.8 ,0.248,0.078,0.094,0.127,12.29,Sim,petal_width,iris
virginica,30,2.007,2.0,1.8 ,0.256,0.079,0.096,0.129,12.75,Sim,petal_width,iris
virginica,31,2.003,2.0,1.8 ,0.252,0.077,0.093,0.125,12.59,Sim,petal_width,iris
virginica,32,2.003,2.0,1.8 ,0.248,0.074,0.089,0.12,12.39,Sim,petal_width,iris
virginica,33,2.009,2.0,1.8 ,0.247,0.073,0.087,0.118,12.28,Sim,petal_width,iris
virginica,34,1.994,2.0,1.8 ,0.258,0.075,0.09,0.121,12.94,Sim,petal_width,iris
virginica,35,1.977,2.0,1.8 ,0.273,0.078,0.094,0.126,13.83,Sim,petal_width,iris
virginica,36,1.986,2.0,1.8 ,0.275,0.077,0.093,0.125,13.84,Sim,petal_width,iris
virginica,37,1.997,2.0,1.8 ,0.279,0.078,0.093,0.125,13.99,Sim,petal_width,iris
virginica,38,1.992,2.0,1.8 ,0.277,0.076,0.091,0.122,13.93,Sim,petal_width,iris
virginica,39,1.987,2.0,1.8 ,0.275,0.074,0.089,0.12,13.86,Sim,petal_width,iris
virginica,40,1.99,2.0,1.8 ,0.273,0.073,0.087,0.117,13.69,Sim,petal_width,iris
virginica,41,2.0,2.0,1.8 ,0.277,0.073,0.087,0.117,13.83,Sim,petal_width,iris
virginica,42,2.007,2.0,1.8 ,0.277,0.072,0.086,0.115,13.81,Sim,petal_width,iris
virginica,43,2.005,2.0,1.8 ,0.274,0.07,0.084,0.113,13.68,Sim,petal_width,iris
virginica,44,2.011,2.0,1.8 ,0.275,0.07,0.084,0.112,13.66,Sim,petal_width,iris
virginica,45,2.022,2.0,1.8 ,0.281,0.07,0.084,0.113,13.9,Sim,petal_width,iris
virginica,46,2.028,2.0,1.8 ,0.281,0.07,0.083,0.111,13.85,Sim,petal_width,iris
virginica,47,2.026,2.0,1.8 ,0.279,0.068,0.082,0.109,13.75,Sim,petal_width,iris
virginica,48,2.025,2.0,1.8 ,0.276,0.067,0.08,0.107,13.61,Sim,petal_width,iris
virginica,49,2.031,2.0,1.8 ,0.276,0.066,0.079,0.106,13.57,Sim,petal_width,iris
virginica,50,2.026,2.0,1.8 ,0.275,0.065,0.078,0.104,13.56,Sim,petal_width,iris
versicolor,1,7.0,7.0,7.0,-,-,-,-,-,-,sepal_length,iris
versicolor,2,6.7,6.7,None ,0.424,1.894,3.812,19.097,6.33,-,sepal_length,iris
versicolor,3,6.767,6.9,None ,0.321,0.542,0.799,1.842,4.75,Sim,sepal_length,iris
versicolor,4,6.45,6.65,None ,0.686,0.807,1.091,2.002,10.63,Sim,sepal_length,iris
versicolor,5,6.46,6.5,None ,0.594,0.566,0.738,1.223,9.2,Sim,sepal_length,iris
versicolor,6,6.333,6.45,None ,0.615,0.506,0.646,1.013,9.72,Sim,sepal_length,iris
versicolor,7,6.329,6.4,None ,0.562,0.413,0.52,0.787,8.88,Sim,sepal_length,iris
versicolor,8,6.15,6.35,None ,0.725,0.486,0.606,0.897,11.79,Sim,sepal_length,iris
versicolor,9,6.2,6.4,None ,0.695,0.431,0.534,0.777,11.2,Sim,sepal_length,iris
versicolor,10,6.1,6.35,None ,0.727,0.422,0.52,0.747,11.92,Sim,sepal_length,iris
versicolor,11,6.0,6.3,None ,0.766,0.418,0.514,0.731,12.76,Sim,sepal_length,iris
versicolor,12,5.992,6.1,None ,0.73,0.379,0.464,0.655,12.19,Sim,sepal_length,iris
versicolor,13,5.992,6.0,None ,0.699,0.346,0.423,0.592,11.67,Sim,sepal_length,iris
versicolor,14,6.0,6.05,None ,0.673,0.318,0.388,0.541,11.21,Sim,sepal_length,iris
versicolor,15,5.973,6.0,None ,0.656,0.298,0.363,0.504,10.99,Sim,sepal_length,iris
versicolor,16,6.019,6.05,None ,0.66,0.289,0.351,0.486,10.96,Sim,sepal_length,iris
versicolor,17,5.994,6.0,5.6 ,0.647,0.274,0.332,0.458,10.79,Sim,sepal_length,iris
versicolor,18,5.983,5.95,5.6 ,0.629,0.258,0.313,0.43,10.51,Sim,sepal_length,iris
versicolor,19,5.995,6.0,5.6 ,0.613,0.244,0.296,0.405,10.23,Sim,sepal_length,iris
versicolor,20,5.975,5.95,5.6 ,0.603,0.233,0.282,0.386,10.1,Sim,sepal_length,iris
versicolor,21,5.971,5.9,5.6 ,0.588,0.221,0.268,0.365,9.85,Sim,sepal_length,iris
versicolor,22,5.977,5.95,5.6 ,0.575,0.211,0.255,0.347,9.62,Sim,sepal_length,iris
versicolor,23,5.991,6.0,5.6 ,0.566,0.203,0.245,0.332,9.44,Sim,sepal_length,iris
versicolor,24,5.996,6.05,6.1 & 5.6 ,0.554,0.194,0.234,0.317,9.23,Sim,sepal_length,iris
versicolor,25,6.012,6.1,6.1 & 5.6 ,0.548,0.188,0.226,0.307,9.11,Sim,sepal_length,iris
versicolor,26,6.035,6.1,6.1 & 5.6 ,0.549,0.184,0.222,0.3,9.1,Sim,sepal_length,iris
versicolor,27,6.063,6.1,6.1 & 5.6 ,0.558,0.183,0.221,0.299,9.21,Sim,sepal_length,iris
versicolor,28,6.086,6.1,6.1 & 5.6 ,0.561,0.181,0.217,0.294,9.22,Sim,sepal_length,iris
versicolor,29,6.083,6.1,6.1 & 5.6 ,0.551,0.174,0.21,0.283,9.06,Sim,sepal_length,iris
versicolor,30,6.07,6.1,6.1 & 5.6 ,0.546,0.169,0.204,0.275,8.99,Sim,sepal_length,iris
versicolor,31,6.052,6.1,6.1 & 5.6 ,0.546,0.167,0.2,0.27,9.03,Sim,sepal_length,iris
versicolor,32,6.034,6.05,5.5 & 6.1 & 5.6 ,0.546,0.164,0.197,0.265,9.05,Sim,sepal_length,iris
versicolor,33,6.027,6.0,5.5 & 6.1 & 5.6 ,0.539,0.159,0.191,0.257,8.95,Sim,sepal_length,iris
versicolor,34,6.026,6.0,5.5 & 6.0 & 6.1 & 5.6 ,0.531,0.154,0.185,0.249,8.81,Sim,sepal_length,iris
versicolor,35,6.009,6.0,5.5 & 6.0 & 6.1 & 5.6 ,0.534,0.153,0.183,0.246,8.88,Sim,sepal_length,iris
versicolor,36,6.008,6.0,6.0 ,0.526,0.148,0.178,0.239,8.76,Sim,sepal_length,iris
versicolor,37,6.027,6.0,6.0 ,0.531,0.147,0.177,0.237,8.81,Sim,sepal_length,iris
versicolor,38,6.034,6.0,6.0 ,0.526,0.144,0.173,0.232,8.71,Sim,sepal_length,iris
versicolor,39,6.023,6.0,6.0 & 5.6 ,0.523,0.141,0.17,0.227,8.69,Sim,sepal_length,iris
versicolor,40,6.01,6.0,5.5 & 6.0 & 5.6 ,0.523,0.139,0.167,0.224,8.71,Sim,sepal_length,iris
versicolor,41,5.998,6.0,5.5 ,0.523,0.137,0.165,0.221,8.72,Sim,sepal_length,iris
versicolor,42,6.0,6.0,5.5 ,0.517,0.134,0.161,0.215,8.61,Sim,sepal_length,iris
versicolor,43,5.995,6.0,5.5 ,0.511,0.131,0.157,0.21,8.53,Sim,sepal_length,iris
versicolor,44,5.973,6.0,5.5 ,0.527,0.134,0.16,0.214,8.83,Sim,sepal_length,iris
versicolor,45,5.964,6.0,5.5 & 5.6 ,0.524,0.131,0.157,0.21,8.79,Sim,sepal_length,iris
versicolor,46,5.959,5.95,5.5 & 5.6 ,0.52,0.129,0.154,0.206,8.72,Sim,sepal_length,iris
versicolor,47,5.953,5.9,5.5 & 5.6 ,0.515,0.126,0.151,0.202,8.66,Sim,sepal_length,iris
versicolor,48,5.958,5.95,5.5 & 5.6 ,0.511,0.124,0.148,0.198,8.58,Sim,sepal_length,iris
versicolor,49,5.941,5.9,5.5 & 5.6 ,0.52,0.125,0.149,0.199,8.76,Sim,sepal_length,iris
versicolor,50,5.936,5.9,5.5 & 5.7 & 5.6 ,0.516,0.122,0.147,0.196,8.7,Sim,sepal_length,iris
versicolor,1,3.2,3.2,3.2,-,-,-,-,-,-,sepal_width,iris
versicolor,2,3.2,3.2,3.2 ,0.0,0.0,0.0,0.0,0.0,-,sepal_width,iris
versicolor,3,3.167,3.2,3.2 ,0.058,0.097,0.143,0.331,1.82,Não,sepal_width,iris
versicolor,4,2.95,3.15,3.2 ,0.436,0.513,0.694,1.273,14.78,Não,sepal_width,iris
versicolor,5,2.92,3.1,3.2 ,0.383,0.366,0.476,0.789,13.13,Sim,sepal_width,iris
versicolor,6,2.9,2.95,3.2 & 2.8 ,0.346,0.285,0.364,0.57,11.95,Sim,sepal_width,iris
versicolor,7,2.957,3.1,3.2 & 2.8 ,0.351,0.257,0.324,0.491,11.85,Sim,sepal_width,iris
versicolor,8,2.888,2.95,3.2 & 2.8 ,0.38,0.254,0.317,0.47,13.15,Sim,sepal_width,iris
versicolor,9,2.889,2.9,3.2 & 2.8 ,0.355,0.22,0.273,0.397,12.29,Sim,sepal_width,iris
versicolor,10,2.87,2.85,3.2 & 2.8 ,0.34,0.197,0.243,0.35,11.85,Sim,sepal_width,iris
versicolor,11,2.791,2.8,3.2 & 2.8 ,0.416,0.227,0.279,0.397,14.9,Sim,sepal_width,iris
versicolor,12,2.808,2.85,3.2 & 2.8 ,0.401,0.208,0.255,0.36,14.28,Sim,sepal_width,iris
versicolor,13,2.762,2.8,3.2 & 2.8 ,0.419,0.207,0.253,0.355,15.19,Sim,sepal_width,iris
versicolor,14,2.771,2.85,3.2 & 2.8 & 2.9 ,0.405,0.192,0.234,0.326,14.6,Sim,sepal_width,iris
versicolor,15,2.78,2.9,2.9 ,0.391,0.178,0.217,0.301,14.08,Sim,sepal_width,iris
versicolor,16,2.8,2.9,2.9 ,0.386,0.169,0.206,0.285,13.8,Sim,sepal_width,iris
versicolor,17,2.812,2.9,2.9 ,0.377,0.16,0.194,0.267,13.42,Sim,sepal_width,iris
versicolor,18,2.806,2.9,2.9 ,0.367,0.15,0.182,0.251,13.08,Sim,sepal_width,iris
versicolor,19,2.774,2.9,2.9 ,0.383,0.152,0.184,0.253,13.8,Sim,sepal_width,iris
versicolor,20,2.76,2.85,2.9 ,0.378,0.146,0.177,0.242,13.68,Sim,sepal_width,iris
versicolor,21,2.781,2.9,3.2 & 2.9 ,0.38,0.143,0.173,0.236,13.67,Sim,sepal_width,iris
versicolor,22,2.782,2.85,3.2 & 2.8 & 2.9 ,0.371,0.136,0.165,0.224,13.34,Sim,sepal_width,iris
versicolor,23,2.77,2.8,3.2 & 2.8 & 2.9 ,0.367,0.132,0.159,0.216,13.26,Sim,sepal_width,iris
versicolor,24,2.771,2.8,2.8 ,0.359,0.126,0.152,0.206,12.97,Sim,sepal_width,iris
versicolor,25,2.776,2.8,2.8 & 2.9 ,0.353,0.121,0.146,0.197,12.71,Sim,sepal_width,iris
versicolor,26,2.785,2.85,2.8 & 2.9 ,0.348,0.117,0.141,0.19,12.51,Sim,sepal_width,iris
versicolor,27,2.785,2.8,2.8 ,0.342,0.112,0.135,0.183,12.27,Sim,sepal_width,iris
versicolor,28,2.793,2.85,2.8 ,0.338,0.109,0.131,0.177,12.09,Sim,sepal_width,iris
versicolor,29,2.797,2.9,2.8 & 2.9 ,0.332,0.105,0.126,0.17,11.88,Sim,sepal_width,iris
versicolor,30,2.79,2.85,2.8 & 2.9 ,0.328,0.102,0.123,0.165,11.77,Sim,sepal_width,iris
versicolor,31,2.777,2.8,2.8 & 2.9 ,0.33,0.101,0.121,0.163,11.89,Sim,sepal_width,iris
versicolor,32,2.766,2.8,2.8 & 2.9 ,0.332,0.099,0.12,0.161,12.0,Sim,sepal_width,iris
versicolor,33,2.764,2.8,2.8 & 2.9 ,0.327,0.096,0.116,0.156,11.82,Sim,sepal_width,iris
versicolor,34,2.762,2.8,2.8 & 2.9 ,0.322,0.093,0.112,0.151,11.66,Sim,sepal_width,iris
versicolor,35,2.769,2.8,2.8 & 2.9 & 3.0 ,0.32,0.091,0.11,0.147,11.55,Sim,sepal_width,iris
versicolor,36,2.786,2.8,2.8 & 2.9 & 3.0 ,0.332,0.094,0.112,0.151,11.92,Sim,sepal_width,iris
versicolor,37,2.795,2.8,2.8 & 2.9 & 3.0 ,0.332,0.092,0.111,0.148,11.87,Sim,sepal_width,iris
versicolor,38,2.782,2.8,2.8 & 2.9 & 3.0 ,0.337,0.092,0.111,0.148,12.11,Sim,sepal_width,iris
versicolor,39,2.787,2.8,3.0 ,0.334,0.09,0.108,0.145,11.99,Sim,sepal_width,iris
versicolor,40,2.78,2.8,3.0 ,0.333,0.089,0.106,0.143,11.98,Sim,sepal_width,iris
versicolor,41,2.776,2.8,3.0 ,0.33,0.087,0.104,0.139,11.89,Sim,sepal_width,iris
versicolor,42,2.781,2.8,3.0 ,0.328,0.085,0.102,0.137,11.79,Sim,sepal_width,iris
versicolor,43,2.777,2.8,3.0 ,0.325,0.083,0.1,0.134,11.71,Sim,sepal_width,iris
versicolor,44,2.766,2.8,3.0 ,0.329,0.083,0.1,0.134,11.9,Sim,sepal_width,iris
versicolor,45,2.764,2.8,3.0 ,0.326,0.082,0.098,0.131,11.78,Sim,sepal_width,iris
versicolor,46,2.77,2.8,3.0 ,0.324,0.08,0.096,0.128,11.69,Sim,sepal_width,iris
versicolor,47,2.772,2.8,3.0 ,0.321,0.079,0.094,0.126,11.57,Sim,sepal_width,iris
versicolor,48,2.775,2.8,3.0 ,0.318,0.077,0.092,0.123,11.46,Sim,sepal_width,iris
versicolor,49,2.769,2.8,3.0 ,0.317,0.076,0.091,0.121,11.45,Sim,sepal_width,iris
versicolor,50,2.77,2.8,3.0 ,0.314,0.074,0.089,0.119,11.33,Sim,sepal_width,iris
versicolor,1,4.7,4.7,4.7,-,-,-,-,-,-,petal_length,iris
versicolor,2,4.6,4.6,None ,0.141,0.631,1.271,6.366,3.07,-,petal_length,iris
versicolor,3,4.7,4.7,None ,0.2,0.337,0.497,1.146,4.26,Sim,petal_length,iris
versicolor,4,4.525,4.6,None ,0.386,0.454,0.615,1.128,8.54,Sim,petal_length,iris
versicolor,5,4.54,4.6,None ,0.336,0.32,0.417,0.692,7.4,Sim,petal_length,iris
versicolor,6,4.533,4.55,4.5 ,0.301,0.248,0.316,0.496,6.64,Sim,petal_length,iris
versicolor,7,4.557,4.6,4.7 & 4.5 ,0.282,0.207,0.261,0.395,6.19,Sim,petal_length,iris
versicolor,8,4.4,4.55,4.7 & 4.5 ,0.515,0.345,0.431,0.638,11.72,Não,petal_length,iris
versicolor,9,4.422,4.6,4.7 & 4.5 & 4.6 ,0.487,0.302,0.374,0.544,11.01,Não,petal_length,iris
